age,workclass,fnlwgt,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary
24,private,159567,some_college,married_civ_spouse,machine_op_inspct,husband,white,male,0,0,40,united_states,<=50K
41,local_gov,523910,bachelors,married_civ_spouse,craft_repair,husband,black,male,0,0,40,united_states,<=50K
47,private,120939,some_college,married_civ_spouse,tech_support,husband,white,male,0,0,45,united_states,<=50K
41,federal_gov,130760,bachelors,married_civ_spouse,tech_support,husband,white,male,0,0,24,united_states,<=50K
23,private,197387,5th_6th,married_civ_spouse,transport_moving,other_relative,white,male,0,0,40,mexico,<=50K
36,private,99374,some_college,divorced,craft_repair,not_in_family,white,male,0,0,40,united_states,<=50K
40,federal_gov,56795,masters,never_married,exec_managerial,not_in_family,white,female,14084,0,55,united_states,>50K
35,private,138992,masters,married_civ_spouse,prof_specialty,other_relative,white,male,7298,0,40,united_states,>50K
24,self_emp_not_inc,32921,hs_grad,never_married,sales,not_in_family,white,male,0,0,40,united_states,<=50K
26,private,397317,masters,never_married,prof_specialty,not_in_family,white,female,0,1876,40,united_states,<=50K
19,unknown,170653,hs_grad,never_married,unknown,own_child,white,male,0,0,40,italy,<=50K
51,private,259323,bachelors,married_civ_spouse,exec_managerial,husband,white,male,0,0,50,united_states,>50K
42,local_gov,254817,some_college,never_married,prof_specialty,not_in_family,white,female,0,1340,40,united_states,<=50K
37,state_gov,48211,hs_grad,divorced,adm_clerical,unmarried,white,female,0,0,35,united_states,<=50K
18,private,140164,11th,never_married,sales,own_child,white,female,0,0,40,united_states,<=50K
36,private,128757,bachelors,married_civ_spouse,other_service,husband,black,male,7298,0,36,united_states,>50K
35,private,36270,hs_grad,divorced,craft_repair,not_in_family,white,male,0,0,60,united_states,<=50K
58,self_emp_inc,210563,hs_grad,married_civ_spouse,sales,wife,white,female,15024,0,35,united_states,>50K
17,private,65368,11th,never_married,sales,own_child,white,female,0,0,12,united_states,<=50K
44,local_gov,160943,hs_grad,married_civ_spouse,transport_moving,husband,black,male,0,0,40,united_states,<=50K
37,private,208358,hs_grad,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,>50K
35,private,153790,some_college,never_married,sales,not_in_family,amer_indian_eskimo,female,0,0,40,united_states,<=50K
60,private,85815,hs_grad,married_civ_spouse,craft_repair,husband,asian_pac_islander,male,0,0,40,united_states,<=50K
54,self_emp_inc,125417,7th_8th,married_civ_spouse,machine_op_inspct,husband,white,male,0,0,40,united_states,>50K
37,private,635913,bachelors,never_married,exec_managerial,not_in_family,black,male,0,0,60,united_states,>50K
50,private,313321,assoc_acdm,divorced,sales,not_in_family,white,female,0,0,40,united_states,<=50K
38,private,182609,bachelors,married_civ_spouse,sales,husband,white,male,0,0,50,poland,<=50K
45,private,109434,bachelors,married_civ_spouse,prof_specialty,husband,white,male,0,0,55,united_states,<=50K
25,private,255004,10th,never_married,craft_repair,not_in_family,white,male,0,0,40,united_states,<=50K
31,private,197860,some_college,married_civ_spouse,handlers_cleaners,husband,white,male,0,0,40,united_states,<=50K
64,unknown,187656,1st_4th,divorced,unknown,not_in_family,white,male,0,0,40,united_states,<=50K
90,private,51744,hs_grad,never_married,other_service,not_in_family,black,male,0,2206,40,united_states,<=50K
54,private,176681,hs_grad,married_civ_spouse,adm_clerical,husband,black,male,0,0,20,united_states,<=50K
53,local_gov,140359,preschool,never_married,machine_op_inspct,not_in_family,white,female,0,0,35,united_states,<=50K
18,private,243313,hs_grad,never_married,sales,own_child,white,female,0,0,40,united_states,<=50K
60,unknown,24215,10th,divorced,unknown,not_in_family,amer_indian_eskimo,female,0,0,10,united_states,<=50K
66,self_emp_not_inc,167687,hs_grad,married_civ_spouse,farming_fishing,husband,white,male,1409,0,50,united_states,<=50K
75,private,314209,assoc_voc,widowed,adm_clerical,not_in_family,white,female,0,0,20,columbia,<=50K
65,private,176796,hs_grad,divorced,adm_clerical,not_in_family,white,female,0,0,40,united_states,<=50K
35,private,538583,11th,separated,transport_moving,not_in_family,black,male,3674,0,40,united_states,<=50K
41,private,130408,hs_grad,divorced,sales,unmarried,black,female,0,0,38,united_states,<=50K
25,private,159732,some_college,never_married,adm_clerical,not_in_family,white,male,0,0,42,united_states,<=50K
33,private,110978,some_college,divorced,craft_repair,other_relative,other,female,0,0,40,united_states,<=50K
28,private,76714,prof_school,never_married,prof_specialty,not_in_family,white,male,0,0,55,united_states,>50K
59,state_gov,268700,hs_grad,married_civ_spouse,other_service,husband,white,male,0,0,40,united_states,<=50K
40,state_gov,170525,some_college,never_married,adm_clerical,not_in_family,white,female,0,0,38,united_states,<=50K
41,private,180138,bachelors,married_civ_spouse,exec_managerial,husband,white,male,0,0,50,iran,>50K
38,local_gov,115076,masters,married_civ_spouse,exec_managerial,husband,white,male,0,0,70,united_states,>50K
23,private,115458,hs_grad,never_married,transport_moving,own_child,white,male,0,0,40,united_states,<=50K
40,private,347890,bachelors,married_civ_spouse,prof_specialty,husband,white,male,0,0,40,united_states,>50K
41,self_emp_not_inc,196001,hs_grad,married_civ_spouse,other_service,wife,white,female,0,0,20,united_states,<=50K
24,state_gov,273905,assoc_acdm,married_civ_spouse,protective_serv,husband,white,male,0,0,50,united_states,<=50K
20,unknown,119156,some_college,never_married,unknown,own_child,white,male,0,0,20,united_states,<=50K
38,private,179488,some_college,divorced,craft_repair,not_in_family,white,male,0,1741,40,united_states,<=50K
56,private,203580,hs_grad,married_civ_spouse,adm_clerical,husband,white,male,0,0,35,unknown,<=50K
58,private,236596,hs_grad,married_civ_spouse,adm_clerical,husband,white,male,0,0,45,united_states,>50K
32,private,183916,hs_grad,never_married,other_service,not_in_family,white,female,0,0,34,united_states,<=50K
40,private,207578,assoc_acdm,married_civ_spouse,tech_support,husband,white,male,0,1977,60,united_states,>50K
45,private,153141,hs_grad,married_civ_spouse,adm_clerical,husband,white,male,0,0,40,unknown,<=50K
41,private,112763,prof_school,married_civ_spouse,prof_specialty,wife,white,female,0,0,40,united_states,>50K
42,private,390781,bachelors,married_civ_spouse,adm_clerical,wife,black,female,0,0,40,united_states,<=50K
59,local_gov,171328,10th,widowed,other_service,unmarried,black,female,0,0,30,united_states,<=50K
19,local_gov,27382,some_college,never_married,adm_clerical,own_child,white,male,0,0,40,united_states,<=50K
58,private,259014,some_college,never_married,transport_moving,not_in_family,white,male,0,0,20,united_states,<=50K
42,self_emp_not_inc,303044,hs_grad,married_civ_spouse,farming_fishing,husband,asian_pac_islander,male,0,0,40,cambodia,>50K
20,private,117789,hs_grad,never_married,other_service,own_child,white,female,0,0,40,united_states,<=50K
32,private,172579,hs_grad,separated,other_service,not_in_family,white,female,0,0,30,united_states,<=50K
45,private,187666,assoc_voc,widowed,exec_managerial,not_in_family,white,female,0,0,45,united_states,<=50K
50,private,204518,7th_8th,divorced,craft_repair,not_in_family,white,male,0,0,40,united_states,<=50K
36,private,150042,bachelors,divorced,prof_specialty,own_child,white,female,0,0,40,united_states,<=50K
45,private,98092,hs_grad,married_civ_spouse,sales,husband,white,male,0,0,60,united_states,<=50K
17,private,245918,11th,never_married,other_service,own_child,white,male,0,0,12,united_states,<=50K
59,private,146013,some_college,married_civ_spouse,sales,husband,white,male,4064,0,40,united_states,<=50K
26,private,378322,11th,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,<=50K
37,self_emp_inc,257295,some_college,married_civ_spouse,exec_managerial,husband,asian_pac_islander,male,0,0,75,thailand,>50K
19,unknown,218956,some_college,never_married,unknown,own_child,white,male,0,0,24,canada,<=50K
64,private,21174,hs_grad,married_civ_spouse,exec_managerial,husband,white,male,0,0,40,united_states,>50K
33,private,185480,bachelors,never_married,prof_specialty,not_in_family,white,female,0,0,45,united_states,<=50K
33,private,222205,hs_grad,married_civ_spouse,craft_repair,wife,white,female,0,0,40,united_states,>50K
61,private,69867,hs_grad,married_civ_spouse,exec_managerial,husband,white,male,0,0,40,united_states,>50K
17,private,191260,9th,never_married,other_service,own_child,white,male,1055,0,24,united_states,<=50K
50,self_emp_not_inc,30653,masters,married_civ_spouse,farming_fishing,husband,white,male,2407,0,98,united_states,<=50K
27,local_gov,209109,masters,never_married,prof_specialty,own_child,white,male,0,0,35,united_states,<=50K
30,private,70377,hs_grad,divorced,prof_specialty,own_child,white,female,0,0,40,united_states,<=50K
43,private,477983,hs_grad,married_civ_spouse,handlers_cleaners,husband,black,male,0,0,40,united_states,<=50K
44,private,170924,some_college,married_civ_spouse,craft_repair,husband,white,male,7298,0,40,united_states,>50K
35,private,190174,some_college,never_married,exec_managerial,not_in_family,white,female,0,0,40,united_states,<=50K
25,private,193787,some_college,never_married,tech_support,own_child,white,female,0,0,40,united_states,<=50K
24,private,279472,some_college,married_civ_spouse,machine_op_inspct,wife,white,female,7298,0,48,united_states,>50K
22,private,34918,bachelors,never_married,prof_specialty,not_in_family,white,female,0,0,15,germany,<=50K
42,local_gov,97688,some_college,married_civ_spouse,craft_repair,husband,white,male,5178,0,40,united_states,>50K
